Line,Timestamp,Passengers,Gone_up,Went_down
11,1543159129,11,1,1
11,1543159181,11,0,0
11,1543159200,8,0,3
11,1543159461,4,0,4
11,1543159500,0,0,4
11,1543160040,4,4,0
11,1543160109,6,2,0
11,1543160340,6,0,0
11,1543160368,6,0,0
11,1543160429,7,1,0
11,1543160460,7,0,0
11,1543160496,8,1,0
11,1543160521,10,2,0
11,1543160539,30,20,0
11,1543160617,30,0,0
11,1543160659,28,1,3
11,1543160681,28,0,0
11,1543160732,25,1,4
11,1543160760,22,1,4
11,1543160838,20,0,2
11,1543160880,20,0,0
11,1543160899,20,0,0
11,1543161000,20,0,0
11,1543161047,20,0,0
11,1543161300,14,4,10
11,1543161360,16,2,0
11,1543161446,15,1,2
11,1543161540,15,0,0
11,1543161600,16,3,2
11,1543161720,20,5,1
11,1543161780,26,7,1
11,1543161871,25,1,2
11,1543161935,24,0,1
11,1543161971,28,5,1
11,1543162036,27,0,1
11,1543162107,24,0,3
11,1543162140,24,0,0
11,1543162204,26,2,0
11,1543162259,24,0,2
11,1543162320,24,0,0
11,1543162373,24,0,0
11,1543162425,24,0,0
11,1543162470,24,0,0
11,1543162495,24,0,0
11,1543162580,24,0,0
11,1543162636,1,0,23
11,1543162680,1,0,0
11,1543162740,1,0,0
11,1543162755,1,0,0
11,1543162787,1,0,0
11,1543162810,1,0,0
11,1543162846,0,0,1
11,1543162879,0,0,0
11,1543162920,0,0,0
11,1543163820,1,1,0
11,1543163873,1,0,0
11,1543163912,1,0,0
11,1543163959,1,0,0
11,1543163996,1,0,0
11,1543164022,1,0,0
11,1543164060,1,0,0
11,1543164104,17,16,0
11,1543164262,18,1,0
11,1543164300,18,0,0
11,1543164339,20,2,0
11,1543164396,20,0,0
11,1543164420,20,0,0
11,1543164472,23,3,0
11,1543164529,25,2,0
11,1543164573,25,0,0
11,1543164660,25,0,0
11,1543164732,25,0,0
11,1543164791,25,0,0
11,1543164844,25,0,0
11,1543164882,24,0,1
11,1543165020,23,1,2
11,1543165080,23,0,0
11,1543165200,12,6,17
11,1543165260,12,1,1
11,1543165384,12,0,0
11,1543165440,11,0,1
11,1543165500,9,4,6
11,1543165692,8,0,1
11,1543165744,10,2,0
11,1543165800,14,4,0
11,1543165890,14,0,0
11,1543165920,14,0,0
11,1543165966,14,0,0
11,1543166040,11,1,4
11,1543166073,11,0,0
11,1543166108,11,1,1
11,1543166132,11,0,0
11,1543166206,11,0,0
11,1543166243,10,0,1
11,1543166280,6,0,4
11,1543166329,4,0,2
11,1543166381,4,0,0
11,1543166400,4,1,1
11,1543166661,5,1,0
11,1543166700,0,0,5
11,1543167240,5,5,0
11,1543167309,7,2,0
11,1543167540,8,1,0
11,1543167568,8,0,0
11,1543167629,8,0,0
11,1543167660,8,0,0
11,1543167696,9,1,0
11,1543167721,8,0,1
11,1543167739,8,0,0
11,1543167817,10,2,0
11,1543167859,10,0,0
11,1543167881,12,2,0
11,1543167932,12,0,0
11,1543167960,14,2,0
11,1543168038,14,0,0
11,1543168080,13,0,1
11,1543168099,14,1,0
11,1543168200,13,0,1
11,1543168247,11,0,2
11,1543168500,21,16,6
11,1543168560,21,1,1
11,1543168646,21,0,0
11,1543168740,20,0,1
11,1543168800,20,0,0
11,1543168920,21,3,2
11,1543168980,25,7,3
11,1543169071,26,3,2
11,1543169135,25,0,1
11,1543169171,24,0,1
11,1543169236,24,0,0
11,1543169307,22,0,2
11,1543169340,22,0,0
11,1543169404,21,0,1
11,1543169459,21,0,0
11,1543169520,20,1,2
11,1543169573,16,0,4
11,1543169625,16,0,0
11,1543169670,13,0,3
11,1543169695,13,0,0
11,1543169780,13,0,0
11,1543169836,3,0,10
11,1543169880,2,0,1
11,1543169940,1,0,1
11,1543169955,1,0,0
11,1543169987,1,0,0
11,1543170010,1,0,0
11,1543170046,0,0,1
11,1543170079,0,0,0
11,1543170120,0,0,0
11,1543171020,1,1,0
11,1543171073,1,0,0
11,1543171112,1,0,0
11,1543171159,1,0,0
11,1543171196,1,0,0
11,1543171222,2,1,0
11,1543171260,3,1,0
11,1543171304,25,22,0
11,1543171462,25,0,0
11,1543171500,26,2,1
11,1543171539,26,0,0
11,1543171596,26,0,0
11,1543171620,25,0,1
11,1543171672,25,0,0
11,1543171729,26,1,0
11,1543171773,26,0,0
11,1543171860,23,0,3
11,1543171932,21,0,2
11,1543171991,21,1,1
11,1543172044,21,0,0
11,1543172082,19,0,2
11,1543172220,19,1,1
11,1543172280,25,14,8
11,1543172400,23,3,5
11,1543172460,24,2,1
11,1543172584,23,0,1
11,1543172640,23,0,0
11,1543172700,34,16,5
11,1543172892,34,0,0
11,1543172944,33,0,1
11,1543173000,31,0,2
11,1543173090,31,0,0
11,1543173120,31,0,0
11,1543173166,31,0,0
11,1543173240,27,0,4
11,1543173273,24,1,4
11,1543173308,23,0,1
11,1543173332,22,0,1
11,1543173406,21,0,1
11,1543173443,18,0,3
11,1543173480,18,0,0
11,1543173529,18,0,0
11,1543173581,18,0,0
11,1543173600,11,0,7
11,1543173861,6,1,6
11,1543173900,0,0,6
11,1543174440,1,1,0
11,1543174509,1,0,0
11,1543174740,1,0,0
11,1543174768,1,0,0
11,1543174829,1,0,0
11,1543174860,4,3,0
11,1543174896,5,1,0
11,1543174921,7,2,0
11,1543174939,7,0,0
11,1543175017,8,1,0
11,1543175059,9,1,0
11,1543175081,9,0,0
11,1543175132,9,0,0
11,1543175160,9,1,1
11,1543175238,9,0,0
11,1543175280,9,0,0
11,1543175299,9,0,0
11,1543175400,7,0,2
11,1543175447,7,0,0
11,1543175700,15,9,1
11,1543175760,15,0,0
11,1543175846,15,0,0
11,1543175940,15,0,0
11,1543176000,17,2,0
11,1543176120,16,5,6
11,1543176180,16,0,0
11,1543176271,15,0,1
11,1543176335,12,0,3
11,1543176371,12,0,0
11,1543176436,11,0,1
11,1543176507,11,0,0
11,1543176540,11,0,0
11,1543176604,11,0,0
11,1543176659,11,0,0
11,1543176720,10,0,1
11,1543176773,10,0,0
11,1543176825,10,0,0
11,1543176870,9,0,1
11,1543176895,9,0,0
11,1543176980,9,0,0
11,1543177036,4,0,5
11,1543177080,4,0,0
11,1543177140,4,0,0
11,1543177155,4,0,0
11,1543177187,4,0,0
11,1543177210,4,0,0
11,1543177246,4,0,0
11,1543177279,4,0,0
11,1543177320,0,0,4
11,1543209064,4,4,0
11,1543209099,4,0,0
11,1543209289,4,0,0
11,1543209303,4,0,0
11,1543209342,5,1,0
11,1543209396,6,1,0
11,1543209446,6,0,0
11,1543209464,8,2,0
11,1543209471,8,0,0
11,1543209540,8,0,0
11,1543209572,8,0,0
11,1543209594,8,0,0
11,1543209634,10,2,0
11,1543209680,11,1,0
11,1543209768,11,0,0
11,1543209802,11,0,0
11,1543209813,11,0,0
11,1543209889,11,0,0
11,1543209911,9,1,3
11,1543210067,6,1,4
11,1543210157,6,0,0
11,1543210194,6,0,0
11,1543210232,6,0,0
11,1543210246,5,0,1
11,1543210345,5,1,1
11,1543210438,5,0,0
11,1543210479,5,0,0
11,1543210504,5,0,0
11,1543210519,5,0,0
11,1543210637,5,0,0
11,1543210667,5,0,0
11,1543210683,5,0,0
11,1543210717,5,0,0
11,1543210740,5,0,0
11,1543210770,5,0,0
11,1543210806,5,0,0
11,1543210846,5,0,0
11,1543210875,5,0,0
11,1543210888,5,0,0
11,1543210970,5,0,0
11,1543211008,3,0,2
11,1543211056,3,0,0
11,1543211077,2,0,1
11,1543211131,2,0,0
11,1543211166,2,0,0
11,1543211183,2,0,0
11,1543211211,2,0,0
11,1543211235,2,0,0
11,1543211257,0,0,2
11,1543211334,0,0,0
11,1543211373,0,0,0
11,1543211403,0,0,0
11,1543211438,0,0,0
11,1543211467,0,0,0
11,1543211488,0,0,0
11,1543211520,0,0,0
11,1543211540,1,1,0
11,1543211691,1,0,0
11,1543211719,1,0,0
11,1543211746,1,0,0
11,1543211784,2,1,0
11,1543211827,2,0,0
11,1543211844,4,2,0
11,1543211906,4,0,0
11,1543211927,4,0,0
11,1543211991,6,2,0
11,1543212252,6,0,0
11,1543212276,7,1,0
11,1543212287,7,0,0
11,1543212320,6,0,1
11,1543212428,6,0,0
11,1543212470,6,0,0
11,1543212542,6,0,0
11,1543212554,6,0,0
11,1543212618,6,0,0
11,1543212629,7,1,0
11,1543212770,3,1,5
11,1543212942,3,0,0
11,1543212959,3,0,0
11,1543212973,4,1,0
11,1543213070,4,0,0
11,1543213086,4,0,0
11,1543213119,4,0,0
11,1543213174,3,0,1
11,1543213224,2,0,1
11,1543213285,2,0,0
11,1543213303,2,0,0
11,1543213362,2,0,0
11,1543213396,2,0,0
11,1543213429,2,0,0
11,1543213482,2,0,0
11,1543213518,2,0,0
11,1543213530,1,0,1
11,1543213799,0,0,1
11,1543213885,0,0,0
11,1543214462,15,15,0
11,1543214501,21,6,0
11,1543214720,25,4,0
11,1543214775,25,0,0
11,1543214832,25,0,0
11,1543214854,25,0,0
11,1543214876,29,4,0
11,1543214914,30,1,0
11,1543214947,31,1,0
11,1543215017,31,0,0
11,1543215038,32,1,0
11,1543215087,35,3,0
11,1543215159,35,0,0
11,1543215177,35,0,0
11,1543215268,35,0,0
11,1543215297,35,1,1
11,1543215339,35,0,0
11,1543215416,37,3,1
11,1543215466,37,0,0
11,1543215654,34,11,14
11,1543215805,37,8,5
11,1543215866,34,0,3
11,1543215984,34,0,0
11,1543216003,26,0,8
11,1543216117,18,0,8
11,1543216251,24,6,0
11,1543216384,26,2,0
11,1543216409,26,0,0
11,1543216423,26,0,0
11,1543216575,26,0,0
11,1543216606,26,0,0
11,1543216618,26,0,0
11,1543216655,8,0,18
11,1543216706,7,0,1
11,1543216755,7,0,0
11,1543216789,7,0,0
11,1543216832,7,0,0
11,1543216861,7,0,0
11,1543216874,7,0,0
11,1543216956,7,0,0
11,1543217009,7,0,0
11,1543217037,7,0,0
11,1543217058,6,0,1
11,1543217102,6,0,0
11,1543217135,4,0,2
11,1543217187,4,0,0
11,1543217216,4,0,0
11,1543217242,4,0,0
11,1543217265,0,0,4
11,1543217475,2,2,0
11,1543217511,2,0,0
11,1543217579,3,1,0
11,1543217628,5,2,0
11,1543217676,6,1,0
11,1543217721,6,0,0
11,1543217746,9,3,0
11,1543217809,17,8,0
11,1543217935,23,6,0
11,1543218093,30,7,0
11,1543218137,31,1,0
11,1543218181,33,2,0
